scenario,n_sample,mechanism,condition,null_case,beta_treat,beta_int,method,n_reps,true_effect,bias,mcse_bias,rmse,mcse_rmse,coverage,mcse_coverage,type1,mcse_type1,obs_rate,p_hat_min,p_hat_med,p_hat_max,w_max,ess,trunc_frac
N350_MAR_both_misspec_ALT,350,MAR,both_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.013643903337706757,0.01493418890851358,0.23605216730359843,0.010882563255944796,0.944,0.014541526742402262,,,0.7672342857142858,,,,,,
N350_MAR_both_misspec_ALT,350,MAR,both_misspec,False,0.45,0.28,OM,250,0.41382823521152323,-0.02395033481177787,0.01420952592773792,0.22549803698318363,0.010276683143171834,0.948,0.014042222046385685,,,0.7672342857142858,,,,,,
N350_MAR_both_misspec_ALT,350,MAR,both_misspec,False,0.45,0.28,IPW,250,0.41382823521152323,0.000640204156710454,0.02010782632677003,0.3172967933633449,0.013817418098589584,0.956,0.012971353052014278,,,0.7672342857142858,0.6131136011838785,0.7756195534057606,0.8565123433427768,1.6594505309310355,267.34865855475925,0.0
N350_MAR_both_misspec_ALT,350,MAR,both_misspec,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.023335840931329815,0.014214316191381082,0.2255087822775942,0.010263354177591324,0.948,0.014042222046385685,,,0.7672342857142858,0.6131136011838785,0.7756195534057606,0.8565123433427768,1.6594505309310355,267.34865855475925,0.0
N350_MAR_both_misspec_NULL,350,MAR,both_misspec,True,0.0,0.0,CC,250,0.0,-0.0063596541796589225,0.01568930184635075,0.24765467715214912,0.01073698224204322,0.968,0.011131217363792701,0.032,0.011131217363792696,0.7695885714285714,,,,,,
N350_MAR_both_misspec_NULL,350,MAR,both_misspec,True,0.0,0.0,OM,250,0.0,-0.0031971897061194307,0.014798361191060334,0.23353608717572108,0.00999472876868048,0.968,0.011131217363792701,0.032,0.011131217363792696,0.7695885714285714,,,,,,
N350_MAR_both_misspec_NULL,350,MAR,both_misspec,True,0.0,0.0,IPW,250,0.0,-0.005433037919449829,0.01971368103341867,0.3111240807989468,0.01346057411933027,0.948,0.014042222046385685,0.052,0.014042222046385677,0.7695885714285714,0.6193177306671497,0.7776411374723544,0.8579344988581444,1.649342867151087,268.1933417872266,0.0
N350_MAR_both_misspec_NULL,350,MAR,both_misspec,True,0.0,0.0,AIPW,250,0.0,-0.004199462392724885,0.014784082858237147,0.23332668700393885,0.00986429383666125,0.968,0.011131217363792701,0.032,0.011131217363792696,0.7695885714285714,0.6193177306671497,0.7776411374723544,0.8579344988581444,1.649342867151087,268.1933417872266,0.0
N350_MAR_correct_ALT,350,MAR,correct,False,0.45,0.28,CC,250,0.41382823521152323,-0.013533881221416601,0.015223373149425228,0.24060171936735822,0.01024481429555465,0.964,0.011782020200288238,,,0.7682057142857143,,,,,,
N350_MAR_correct_ALT,350,MAR,correct,False,0.45,0.28,OM,250,0.41382823521152323,0.002099133172698513,0.014016522097165,0.22118694896728217,0.009775885660362473,0.952,0.013519763311537675,,,0.7682057142857143,,,,,,
N350_MAR_correct_ALT,350,MAR,correct,False,0.45,0.28,IPW,250,0.41382823521152323,-0.0001308443513850447,0.01906769668839821,0.3008832070977567,0.012708783315102733,0.968,0.011131217363792701,,,0.7682057142857143,0.4903224426777292,0.7892565705910028,0.9292355406024629,2.1161971154433106,264.8120827699413,9.142857142857143e-05
N350_MAR_correct_ALT,350,MAR,correct,False,0.45,0.28,AIPW,250,0.41382823521152323,0.0020642218237029316,0.013956885724395397,0.22024561546957436,0.009739682748756133,0.948,0.014042222046385685,,,0.7682057142857143,0.4903224426777292,0.7892565705910028,0.9292355406024629,2.1161971154433106,264.8120827699413,9.142857142857143e-05
N350_MAR_correct_NULL,350,MAR,correct,True,0.0,0.0,CC,250,0.0,0.009861948123573326,0.016521612631268917,0.2608931109118838,0.01055551696126036,0.92,0.01715808847162177,0.08,0.017158088471621775,0.7717942857142857,,,,,,
N350_MAR_correct_NULL,350,MAR,correct,True,0.0,0.0,OM,250,0.0,0.004889466609638224,0.015972270048348686,0.25208559280048815,0.01067619548634793,0.94,0.015019986684414876,0.06,0.01501998668441487,0.7717942857142857,,,,,,
N350_MAR_correct_NULL,350,MAR,correct,True,0.0,0.0,IPW,250,0.0,-0.00999463400777288,0.02071982093823915,0.3271059868871403,0.015041785951632454,0.948,0.014042222046385685,0.052,0.014042222046385677,0.7717942857142857,0.504659962011815,0.7910105772693219,0.9270833518338396,2.0482605348062877,266.4815715794886,3.428571428571429e-05
N350_MAR_correct_NULL,350,MAR,correct,True,0.0,0.0,AIPW,250,0.0,0.004156178365917001,0.01616165011053819,0.2550604015878957,0.010651572902724062,0.94,0.015019986684414876,0.06,0.01501998668441487,0.7717942857142857,0.504659962011815,0.7910105772693219,0.9270833518338396,2.0482605348062877,266.4815715794886,3.428571428571429e-05
N350_MAR_missing_misspec_ALT,350,MAR,missing_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.009572473532733898,0.014963079822192851,0.23630738019177117,0.008793249410330788,0.98,0.008854377448471465,,,0.7694285714285715,,,,,,
